0,1
"Arbour Hill, Arran Quay C ED, Dublin, Dublin 7, Leinster, D07 A382, Éire / Ireland","(53.349881, -6.2839099)"
"Heytesbury Street, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 DR60, Éire / Ireland","(53.3344632, -6.2686283)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Wood Quay ED 1901, Portobello, Wood Quay A ED, Dublin, Dublin 8, Leinster, Éire / Ireland","(53.337559150000004, -6.2708702934021545)"
"Arran Quay ED 1901, Arran Quay B ED, Dublin, Dublin 7, Leinster, Éire / Ireland","(53.3547084, -6.28359664494791)"
"Technological University Dublin - Linenhall, Henrietta Place, Inns Quay C ED, Dublin, County Dublin, Leinster, D07 PR5X, Éire / Ireland","(53.35149425, -6.271287879961955)"
"St. Michan's House, Inns Quay C ED, Dublin, Dublin 7, Leinster, Éire / Ireland","(53.347623049999996, -6.273593614663196)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Munster Street, Phibsborough, Cabra East A ED, Dublin, Dublin 7, Leinster, D07 VH04, Éire / Ireland","(53.3634815, -6.2743578)"
"Bank of Ireland, Dublin Road, Wellpark, Cathair na Gaillimhe, County Galway, Connacht, H91 D3T0, Éire / Ireland","(53.2804545, -9.0265188)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Armagh Road, Kimmage B ED, Dublin, Dublin 12, Leinster, D12 W62N, Éire / Ireland","(53.3208418, -6.3055831)"
"P. Boyle Builders Ltd., 5, Enaville Avenue, Ballybough, North Strand, Ballybough A ED, Dublin, County Dublin, Leinster, D03 K8P4, Éire / Ireland","(53.36028315, -6.24106941032429)"
"Lusk, Fingal, County Dublin, Leinster, Éire / Ireland","(53.52417235, -6.1715961579092165)"
"Rush, Rush ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.52435355, -6.109726883280706)"
"The Park, Carrickmines, Cabinteely-Loughlinstown ED, Ballyogan, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.2511317, -6.183697673204383)"
"Thomond, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 NH77, Éire / Ireland","(53.2344245, -6.11761)"
"Shannon, Fiery Lane, Glencullen, Glencullen ED, Glencullen, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 Y673, Éire / Ireland","(53.21894435, -6.224317149416812)"
"Santry, Whitehall C ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.3971578, -6.2454723)"
"Balbriggan, Balbriggan Urban ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.60492015, -6.181051094117393)"
"Lough Conn Road, Drumfinn ED, Dublin, Dublin 10, Leinster, D20 DR77, Éire / Ireland","(53.3481498, -6.3565903)"
"Kincora, Bailey Green Road, Ben Eadair A ED, Howth, Fingal, County Dublin, Leinster, D13 YA32, Éire / Ireland","(53.371568100000005, -6.057298244755687)"
"Prince's Street North, North City ED, Dublin, Dublin 1, Leinster, D01 F5P2, Éire / Ireland","(53.3489444, -6.2610459)"
"Saint Mac Dara's Community College, St. Jude's GAA Club, Templeogue, Templeogue-Osprey ED, South Dublin, County Dublin, Leinster, D12 VY8A, Éire / Ireland","(53.2977305, -6.3283524113862155)"
"Kensington Lodge, Cabinteely-Pottery ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.27802105, -6.153943395861023)"
"Ireland Dublin Christian Life Church, Burnside Lane, Santry, Whitehall C ED, Dublin, County Dublin, Leinster, D09 X6X4, Éire / Ireland","(53.396807, -6.2430382)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"Moat Lane, Clontarf East B ED, Dublin, Dublin 3, Leinster, D03 T6N3, Éire / Ireland","(53.3605178, -6.1940763)"
"Canning & Co., Essex Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 VR94, Éire / Ireland","(53.3451911, -6.2686326)"
"Liverpool FC Popup Shop, Retail Park Service Area, Blanchardstown Centre, Clonsilla ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 T1FD, Éire / Ireland","(53.3957294, -6.392114)"
"Bantry Road, Drumcondra South C ED, Dublin, Dublin 9, Leinster, D09 TC91, Éire / Ireland","(53.376504, -6.2593544)"
"Green Street, Inns Quay C ED, Dublin, Dublin 7, Leinster, D07 YT6H, Éire / Ireland","(53.350129, -6.270556)"
"Mountjoy, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland","(53.3564398, -6.2576884)"
"The Points, 44, Dublin Road, Linen Quarter, Belfast, County Antrim, Ulster, Northern Ireland, BT2 7HN, United Kingdom","(54.5915045, -5.9323268)"
"South Lotts Road, Pembroke West A ED, Dublin, Dublin 4, Leinster, D04 K743, Éire / Ireland","(53.3394395, -6.2325944)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Capel Street Ward 1780, Inns Quay C ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3530507, -6.270637313375421)"
"Mars, Arkle Road, Sandyford Industrial Estate, Blackthorn, Dundrum-Balally ED, Sandyford, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 CV48, Éire / Ireland","(53.2771501, -6.21)"
"Banba Hall, 20, Parnell Square North, Rotunda B ED, Dublin, County Dublin, Leinster, D01 E7C1, Éire / Ireland","(53.354301050000004, -6.264296164847264)"
"Hardwicke Place, Rotunda A ED, Dublin, Dublin 1, Leinster, D01 T3F2, Éire / Ireland","(53.3574904, -6.2637951)"
"Kilmainham, Ushers A ED, Dublin, County Dublin, Leinster, D08 W257, Éire / Ireland","(53.3410462, -6.3072776)"
"Arbour Hill, Arran Quay C ED, Dublin, Dublin 7, Leinster, D07 A382, Éire / Ireland","(53.349881, -6.2839099)"
"Power's Square, The Liberties, Merchants Quay B ED, Dublin, Dublin 8, Leinster, D08 FE83, Éire / Ireland","(53.3419607, -6.2733287)"
"Cope Street, Temple Bar, Royal Exchange A ED, Dublin, Dublin 2, Leinster, D02 VN23, Éire / Ireland","(53.3448992, -6.2626724)"
"York Road, Ringsend, Pembroke East A ED, Dublin, Dublin 4, Leinster, D02 K021, Éire / Ireland","(53.3446436, -6.2280987)"
"Booterstown, Blackrock-Booterstown ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.3086291, -6.1966518)"
"Clonturk Park, Drumcondra South A ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.3683882, -6.250339611276012)"
"Anna Liffey Mills Road, Lucan North ED, Fingal, Dublin 15, Leinster, D15 AXP3, Éire / Ireland","(53.3774356, -6.4397016)"
"Oxford Road, Ranelagh, Rathmines East D ED, Dublin, Dublin 6, Leinster, D06 Y027, Éire / Ireland","(53.3247451, -6.2577097)"
