0,1
"Vico Road, Dalkey Hill ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 PY23, Éire / Ireland","(53.2706689, -6.0966926)"
"Dalkey, Railway Road, Dalkey Hill ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 PY23, Éire / Ireland","(53.2754961, -6.102561409104025)"
"Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 T860, Éire / Ireland","(53.2922794, -6.1360079)"
"Argos, Kimmage C ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3220346, -6.287757051144476)"
"Stuart Turner Pumps, 324B, North Circular Road, Arran Quay A ED, Dublin, County Dublin, Leinster, D07 C9HE, Éire / Ireland","(53.3605915, -6.2751309)"
"Mulligan's, 8-9, Poolbeg Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 TK71, Éire / Ireland","(53.346947, -6.255584866485501)"
"Temple Bar, Liffey Boardwalk, North City ED, Dublin, County Dublin, Leinster, D02 YK79, Éire / Ireland","(53.3452461, -6.264157278134605)"
"Prince of Wales Terrace, Ballsbridge, Pembroke East E ED, Dublin, Dublin 4, Leinster, D04 W9H6, Éire / Ireland","(53.3265307, -6.2223382)"
"Diamond, 17, Berkeley Road, Inns Quay B ED, Dublin, County Dublin, Leinster, D07 K188, Éire / Ireland","(53.3588351, -6.2699166)"
"Armagh Road, Kimmage B ED, Dublin, Dublin 12, Leinster, D12 W62N, Éire / Ireland","(53.3208418, -6.3055831)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Westminster Lawn, Galloping Green South, Stillorgan-Leopardstown ED, Blackrock, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.2776082, -6.1884872432869535)"
"Beaufort, Rathfarnham, Rathfarnham C ED, Rathfarnham, South Dublin, Dublin 14, Leinster, Éire / Ireland","(53.29437775, -6.285552685520804)"
"Liverpool FC Popup Shop, Retail Park Service Area, Blanchardstown Centre, Clonsilla ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 T1FD, Éire / Ireland","(53.3957294, -6.392114)"
"Galway (GMIT), Dublin Road, Mervue, Murrough, Mervue, Cathair na Gaillimhe, County Galway, Connacht, H91 F62K, Éire / Ireland","(53.2771757, -9.0099703)"
"Annamore Court, Chapelizod ED, Dublin, Dublin 10, Leinster, Éire / Ireland","(53.345541100000005, -6.3505479793934)"
"Breffni, 14, Merlyn Park, Merlyn, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 A373, Éire / Ireland","(53.3224424, -6.2153956316878105)"
"Parnell, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 CK74, Éire / Ireland","(53.3530703, -6.2604649)"
"Ulster Street, Phibsborough, Cabra East A ED, Dublin, Dublin 7, Leinster, D07 XH2D, Éire / Ireland","(53.3636222, -6.2752505)"
"Clarke's City Arms, Prussia Street, Oxmantown, Arran Quay E ED, Dublin, County Dublin, Leinster, D07 E1RD, Éire / Ireland","(53.3560081, -6.288092517451522)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
