0,1
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Clontarf Road, Church, Clontarf Road, Clontarf, Clontarf East C ED, Dublin, County Dublin, Leinster, D03 P6D0, Éire / Ireland","(53.3593387, -6.1968506)"
"Bray (North), Shankill-Bray Bypass, Old Connaught, Shankhill-Rathmichael ED, Shankill, Dún Laoghaire-Rathdown, County Dublin, Leinster, A98 TY45, Éire / Ireland","(53.217676, -6.1272609)"
"Mary, Help of Christians Girls’ School, Navan Road, Ashtown A ED, Dublin, County Dublin, Leinster, D07 RCK4, Éire / Ireland","(53.3678624, -6.315144331943523)"
"Eccles Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 T3F2, Éire / Ireland","(53.3584367, -6.2670729)"
"North Dublin Street, Ireland, Dubois County, Indiana, 47546, United States","(38.417587, -86.996934)"
"Edenville, 599, Howth Road, Raheny A ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3808035, -6.156389864902819)"
"Ely Manor, Bohernabreena ED, Tallaght, South Dublin, Dublin 24, Leinster, D24 VH6C, Éire / Ireland","(53.2708078, -6.349926954289039)"
"Baggot Street Upper, Pembroke West C ED, Dublin, Dublin 4, Leinster, D04 WN52, Éire / Ireland","(53.3335583, -6.2443126)"
"Holles Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 FP40, Éire / Ireland","(53.3405656, -6.2459603)"
"Kendal Hair Design, Albert College Park, Albert College Estate, Santry, Whitehall A ED, Dublin, County Dublin, Leinster, D09 FW22, Éire / Ireland","(53.3853682, -6.2586532)"
"Mullingar (Prospect Estate), Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5257559, -7.3301446)"
"Ken Trimmings, 10, Dorset Street Upper, Rotunda A ED, Dublin, County Dublin, Leinster, D01 W2C9, Éire / Ireland","(53.3562357, -6.2648843)"
"Bullock Harbour, Bullock, Dalkey-Bullock ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 DP48, Éire / Ireland","(53.2848717, -6.1070674)"
"Kerry Ingredients & Flavours, 1, Northwood Avenue, Airport ED, Fingal, County Dublin, Leinster, D09 X6X4, Éire / Ireland","(53.4039996, -6.2409547)"
"Liverpool FC Popup Shop, Retail Park Service Area, Blanchardstown Centre, Clonsilla ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 T1FD, Éire / Ireland","(53.3957294, -6.392114)"
