0,1
"Mountjoy Square, Mountjoy B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.356861300000006, -6.25705341718472)"
"Gardiner Street Middle, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 P9Y1, Éire / Ireland","(53.3541819, -6.2568679)"
"Temple Bar, Liffey Boardwalk, North City ED, Dublin, County Dublin, Leinster, D02 YK79, Éire / Ireland","(53.3452461, -6.264157278134605)"
"#51 Dorset St, Temple Street, Dorset Street Lower, Rotunda A ED, Dublin, County Dublin, Leinster, D01 T3F2, Éire / Ireland","(53.3578388, -6.2632675)"
"St George's Church, Hardwicke Place, Rotunda A ED, Dublin, County Dublin, Leinster, D01 T3F2, Éire / Ireland","(53.35735045, -6.262802551528376)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Dún Laoghaire-Sandycove ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28248015, -6.119561935860996)"
"Longwood Avenue, Portobello, Wood Quay B ED, Dublin, Dublin 8, Leinster, D06 HP29, Éire / Ireland","(53.330778, -6.273576)"
"Leonard's Corner, Portobello, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 PVF1, Éire / Ireland","(53.3322379, -6.2752072)"
"Synge Street, Portobello, Saint Kevin's ED, Dublin, Dublin 8, Leinster, D08 DR60, Éire / Ireland","(53.3319493, -6.2668579)"
"Bloomfield Avenue, Donnybrook, Rathmines East A ED, Dublin, Dublin 4, Leinster, D04 Y6K4, Éire / Ireland","(53.3259862, -6.2451272)"
"Gibraltar, Clondalkin-Village ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.313886, -6.407620539747139)"
"Bloomfield, Library Road, Dun Laoghaire-West Central ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 N6P6, Éire / Ireland","(53.2933181, -6.1398145)"
"Crumlin, Walkinstown C ED, Dublin, Dublin 12, Leinster, Éire / Ireland","(53.3202316, -6.3161673)"
"Uppercross, Dublin 24, Leinster, Éire / Ireland","(53.2704172, -6.363875389361701)"
"Lombard Street East, Mansion House A ED, Dublin, Dublin 2, Leinster, D01 KF84, Éire / Ireland","(53.3467801, -6.2480764)"
"Eccles Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 T3F2, Éire / Ireland","(53.3584367, -6.2670729)"
"Medipharm, 19, Frederick Street North, Rotunda A ED, Dublin, County Dublin, Leinster, D01 W2C9, Éire / Ireland","(53.3560314, -6.2650451)"
"14, D'Olier Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 WN62, Éire / Ireland","(53.34608325, -6.257996184656838)"
"National Library of Ireland, Kildare Street, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland","(53.34109775, -6.254485944347109)"
"Fitzgibbon Street, Mountjoy Square, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 PK61, Éire / Ireland","(53.3578817, -6.2559401)"
"Usher's Island, Ushers B ED, Dublin, Dublin 8, Leinster, D07 Y683, Éire / Ireland","(53.3462866, -6.2817758)"
"South Circular Road, Clanbrassil Street, South Circular Road, Portobello, Wood Quay B ED, Dublin, County Dublin, Leinster, D01 XTN5, Éire / Ireland","(53.332246, -6.273821)"
"North Richmond Street, Ballybough B ED, Dublin, Dublin 1, Leinster, D01 WY49, Éire / Ireland","(53.3580897, -6.2505782)"
"Royal College of Surgeons in Ireland, St. Stephen's Green, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 VH98, Éire / Ireland","(53.33917155, -6.2629391028003685)"
"Cabra, Cabra West B ED, Dublin, County Dublin, Leinster, D07 AX73, Éire / Ireland","(53.3669485, -6.2933936)"
"Lisle Road, Drimnagh, Crumlin, Walkinstown C ED, Dublin, Dublin 12, Leinster, D12 XR80, Éire / Ireland","(53.3199667, -6.3172954)"
"Wicklow (Lidl), Dublin Road, Wicklow Urban ED, The Municipal District of Wicklow, County Wicklow, Leinster, A67 HD86, Éire / Ireland","(52.9860807, -6.0561617)"
"Little Dargle River, Willbrook, Rathfarnham, Churchtown-Castle ED, Dundrum, Dún Laoghaire-Rathdown, Dublin 14, Leinster, D14 V5W4, Éire / Ireland","(53.2930891, -6.2703997)"
"Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.2228974, -6.187149273595087)"
"Stillorgan, Stillorgan South, Stillorgan-Merville ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 V1D2, Éire / Ireland","(53.2888378, -6.198343)"
"Eustace Bridge, Leeson Street Lower, Pembroke West C ED, Dublin, County Dublin, Leinster, D04 VX52, Éire / Ireland","(53.3320175, -6.2527505)"
"#849 Appian Way, Leeson Street, Appian Way, Rathmines East A ED, Dublin, County Dublin, Leinster, D04 XK68, Éire / Ireland","(53.3278164, -6.2479629)"
"Bord Gáis Energy Theatre, Grand Canal Square, Dublin Docklands, South Dock ED, Dublin, County Dublin, Leinster, D02 HP83, Éire / Ireland","(53.3442151, -6.239961644085385)"
"Royal Irish Academy, 19, Dawson Street, Dublin, County Dublin, Leinster, D02 AW24, Éire / Ireland","(53.3406614, -6.257876555763072)"
"Arctic Stone, Blackrock Market, Newtown Blackrock, Blackrock-Central ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 RF20, Éire / Ireland","(53.3009501, -6.1783994)"
"Capricorn Dry Cleaners & Laundrette, Firhouse Shopping Centre, Tymon South, Firhouse Village ED, Tallaght, South Dublin, County Dublin, Leinster, D24 W682, Éire / Ireland","(53.2813028, -6.3417058)"
"Ashtown Gate, Castleknock-Park ED, Fingal, County Dublin, Leinster, D15 Y3EK, Éire / Ireland","(53.373558, -6.3340768)"
"Barrington's, Cabinteely-Loughlinstown ED, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.2532521, -6.161912383372956)"
"Butt Bridge, Mansion House A ED, Dublin, County Dublin, Leinster, D02 YY95, Éire / Ireland","(53.3478487, -6.254976852127692)"
"Little Britain Street, Grangegorman, Rotunda B ED, Dublin, Dublin 7, Leinster, D07 YT6H, Éire / Ireland","(53.3493211, -6.2698367)"
"Duke Street, Dublin, Dublin 2, Leinster, D02 VN26, Éire / Ireland","(53.3418812, -6.2588955)"
"O'Connell Street, Dublin Bus, O'Connell Street Upper, North City ED, Dublin, County Dublin, Leinster, D01 TV20, Éire / Ireland","(53.3506057, -6.2607988)"
"Zion Parish 1900, Rathfarnham ED, Dublin, South Dublin, Dublin 6, Leinster, Éire / Ireland","(53.3066985, -6.270915256211742)"
"Lincoln Place, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 FR90, Éire / Ireland","(53.3420264, -6.2519349)"
"Huawei Technologies ( Ireland) Co., Limited, Mespil Road, Pembroke West C ED, Dublin, County Dublin, Leinster, D04 WN52, Éire / Ireland","(53.3321632, -6.2484357)"
"Leinster House, Kildare Street, Dublin, County Dublin, Leinster, D02 XR20, Éire / Ireland","(53.3403068, -6.254251302760439)"
"Trinity College Dublin, College Green, Mansion House A ED, Dublin, County Dublin, Leinster, D02 VR66, Éire / Ireland","(53.34366745, -6.254444724511822)"
"Shamrock Rovers Football Club, Tallaght Bypass, Tallaght-Oldbawn ED, Tallaght, South Dublin, County Dublin, Leinster, D24 XC9W, Éire / Ireland","(53.2837212, -6.373711855205078)"
"King Street South, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 NY74, Éire / Ireland","(53.3403186, -6.2623204)"
"York Road, Ringsend, Pembroke East A ED, Dublin, Dublin 4, Leinster, D02 K021, Éire / Ireland","(53.3446436, -6.2280987)"
"Burgh Quay, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 R274, Éire / Ireland","(53.347487, -6.2559553)"
"The New Theatre, 43, Essex Street East, Temple Bar, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y306, Éire / Ireland","(53.3449227, -6.2665279)"
"Hawkins House, Poolbeg Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 VW90, Éire / Ireland","(53.3467364, -6.2565096)"
"Kimmage Road Lower, Kimmage (pt. Rathfarnham C.P.), Terenure B ED, Dublin, Dublin 6W, Leinster, D12 X965, Éire / Ireland","(53.3136799, -6.2973973)"
"Prussia Street, Oxmantown, Arran Quay E ED, Dublin, Dublin 7, Leinster, D07 E1RD, Éire / Ireland","(53.3548829, -6.2872141)"
"Orca Print, 5, Smithfield, Arran Quay C ED, Dublin, County Dublin, Leinster, D07 TP22, Éire / Ireland","(53.3488081, -6.2777576)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Áras an Uachtaráin, Phoenix Park ED, Dublin, Dublin 8, Leinster, Éire / Ireland","(53.361491650000005, -6.317996978156499)"
"Skye Nails, Cherry Orchard Industrial Estate, Palmerstown Village ED, Palmerstown, South Dublin, County Dublin, Leinster, D10 KF40, Éire / Ireland","(53.3442931, -6.3706905)"
"Carmelite Monastery of the Immaculate Conception, Roebuck, Clonskeagh-Belfield ED, Dundrum, Dún Laoghaire-Rathdown, Dublin 14, Leinster, Éire / Ireland","(53.3037841, -6.232263523461572)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.22135425, -6.113723618281814)"
"The Coombe, The Liberties, Merchants Quay B ED, Dublin, Dublin 8, Leinster, D08 VY00, Éire / Ireland","(53.3398257, -6.2775196)"
"Swords, St Colmcille's, Swords Village ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.45765285, -6.217109990423401)"
"Church of the Three Patrons, Rathgar Road, Rathgar, Rathmines West E ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.317163050000005, -6.271223354563846)"
"Rathgar, Rathfarnham ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3118481, -6.2744692)"
"Henry Street, North City ED, Dublin, Dublin 1, Leinster, D01 F5P2, Éire / Ireland","(53.349537, -6.2619735)"
"Rotunda ED, Rotunda A ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3555808, -6.261761775213248)"
"Ennis Farm Ltd, Holywood ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.5666802, -6.3156601)"
"St. Clare's Convent, Harold's Cross, Rathmines West A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.327119499999995, -6.276575019239942)"
"Canada Life, Marlborough Street, North City ED, Dublin, County Dublin, Leinster, D01 FD28, Éire / Ireland","(53.349352, -6.2577242)"
"Active Retirement Ireland, 124 Capel Bld, Mary's Abbey, North City ED, Dublin, County Dublin, Leinster, D07 PF68, Éire / Ireland","(53.3470356, -6.2692203)"
"Trinity College Dublin, College Green, Mansion House A ED, Dublin, County Dublin, Leinster, D02 VR66, Éire / Ireland","(53.34366745, -6.254444724511822)"
"Holles Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 FP40, Éire / Ireland","(53.3405656, -6.2459603)"
"Ontario Terrace, Rathmines West B ED, Dublin, Dublin 6, Leinster, D06 FC93, Éire / Ireland","(53.3298475, -6.2621756)"
"Our Lady of the Most Holy Rosary of Fatima, South Circular Road, Rialto, Ushers D ED, Dublin, County Dublin, Leinster, D08 E0X7, Éire / Ireland","(53.3359982, -6.296008516422957)"
"Stamer Street, Portobello, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 DR60, Éire / Ireland","(53.3312843, -6.2681346)"
