0,1
"McCambridge Bread, Grants Square, Greenogue Business Park, Newcastle ED, Newcastle, South Dublin, County Dublin, Leinster, D24 HN82, Éire / Ireland","(53.2948664, -6.4786604)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"Stratford, Rathgar, Rathfarnham ED, Dublin, Dublin 6, Leinster, D06 F6H9, Éire / Ireland","(53.3105641, -6.2725808)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"The Silver Penny, 12b, Abbey Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 DX77, Éire / Ireland","(53.349131400000005, -6.256577875384117)"
"Great Denmark Street, Rotunda A ED, Dublin, Dublin 1, Leinster, D01 PP66, Éire / Ireland","(53.3553633, -6.261951)"
"Sinn Féin, 44, Parnell Square West, Rotunda B ED, Dublin, County Dublin, Leinster, D01 R243, Éire / Ireland","(53.352598349999994, -6.264523001483406)"
"The Homestead (Fitzgerald’s), Quarry Road, Cabra East, Cabra East B ED, Dublin, County Dublin, Leinster, D07 VX44, Éire / Ireland","(53.36259, -6.290365263791527)"
"Synge Street Christian Brothers School, Synge Street, The Liberties, Saint Kevin's ED, Dublin, County Dublin, Leinster, D08 W8HD, Éire / Ireland","(53.3335307, -6.267712646849304)"
"Babylon, 83, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 DH36, Éire / Ireland","(53.3358202, -6.2654939)"
"New Row Place, New Row South, Merchants Quay C ED, Dublin, County Dublin, Leinster, D08 W5H6, Éire / Ireland","(53.3384521, -6.273858581294837)"
"Phoenix Tyre Co., Jones's Road, Ballybough B ED, Dublin, Dublin 3, Leinster, D01 WY49, Éire / Ireland","(53.36175205, -6.252995589682438)"
"Pembroke East E ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3262132, -6.225233551395554)"
"College Green, Royal Exchange A ED, Dublin, Dublin 2, Leinster, D02 VR66, Éire / Ireland","(53.3444626, -6.2602695)"
"The Ship Wright Public House, 16-20, Thorncastle Street, Ringsend, Pembroke East A ED, Dublin, County Dublin, Leinster, D04 Y970, Éire / Ireland","(53.3423642, -6.2276601)"
"Abbey Theatre, 26, Abbey Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 K0F1, Éire / Ireland","(53.3485527, -6.257167772487303)"
"Glasthule, Dun Laoghaire-Glasthule ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.2884307, -6.126215011607295)"
"Kilkenny, Pavilions Roundabout, Swords Pavilions Shopping Centre, Swords Village ED, Fingal, County Dublin, Leinster, K67 X5P7, Éire / Ireland","(53.4541661, -6.2190927)"
"Annamore Court, Chapelizod ED, Dublin, Dublin 10, Leinster, Éire / Ireland","(53.345541100000005, -6.3505479793934)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Oxford Road, Ranelagh, Rathmines East D ED, Dublin, Dublin 6, Leinster, D06 Y027, Éire / Ireland","(53.3247451, -6.2577097)"
"Highfield, 37, Highfield Road, Hillcourt, Rathgar, Rathfarnham ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.3121028, -6.2722984)"
"Hyde Engineering + Consulting Europe Limited, 27-29, Orwell Road, Rathgar, Rathfarnham A ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.3112927, -6.2738242)"
"Arden, 30, Taney Crescent, Taney, Roebuck, Dundrum-Taney ED, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 H026, Éire / Ireland","(53.29220465, -6.233756322321476)"
"The Best of Italy, 37, Dunville Avenue, Ranelagh, Rathmines East D ED, Dublin, County Dublin, Leinster, D06 K283, Éire / Ireland","(53.3208399, -6.2574338)"
"Mount Venus Cemetery, Rathfarnham, Bohernabreena ED, South Dublin, Dublin 16, Leinster, Éire / Ireland","(53.260157250000006, -6.30492249662805)"
"Maynooth Citizens Information Centre, Dublin Road, Maynooth ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W23 KV65, Éire / Ireland","(53.3819661, -6.5883857)"
"Berlin, 15, Dame Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 E267, Éire / Ireland","(53.343965049999994, -6.265319753645949)"
"Rutland Place North, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 PT99, Éire / Ireland","(53.3573728, -6.2508754)"
"Abbey Theatre, 26, Abbey Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 K0F1, Éire / Ireland","(53.3485527, -6.257167772487303)"
"Camden Avenue, Finglas, Ashtown A ED, Dublin, Dublin 11, Leinster, D07 E5W4, Éire / Ireland","(53.3769086, -6.3181266)"
"National Library of Ireland, Kildare Street, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland","(53.34109775, -6.254485944347109)"
