,0,1
41,"Mountjoy, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland","(53.3564398, -6.2576884)"
42,"Carlow Courthouse, Dublin Road, Carlow, Carlow Urban ED, The Municipal District of Carlow, County Carlow, Leinster, R93 XA03, Éire / Ireland","(52.839124350000006, -6.930067153260868)"
43,"Arran Quay, Arran Quay C ED, Dublin, County Dublin, Leinster, D07 WNP2, Éire / Ireland","(53.3463202, -6.2783871)"
44,"Inns Quay, Inns Quay C ED, Dublin, Dublin 7, Leinster, D07 HK38, Éire / Ireland","(53.3455743, -6.2734115)"
45,"Rotunda Hospital, Parnell Square West, Rotunda B ED, Dublin, County Dublin, Leinster, D01 P5W9, Éire / Ireland","(53.353003099999995, -6.263468480041185)"
46,"North Dock, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3522782, -6.222598960741069)"
47,"Cow Parlour, The Tenters, Merchants Quay D ED, Dublin, Dublin 8, Leinster, D08 EP02, Éire / Ireland","(53.3359708, -6.2815585)"
48,"Brú Chaoimhín Campus, Cork Street, Merchants Quay C ED, Dublin, County Dublin, Leinster, D08 DH31, Éire / Ireland","(53.336875250000006, -6.284435608026442)"
49,"Ulster Bank, O'Connell Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 PK22, Éire / Ireland","(53.3477894, -6.2590645)"
50,"Bank of Ireland, Dublin Road, Annacotty, Ballysimon ED, The Metropolitan District of Limerick City, Limerick, County Limerick, Munster, V94 YD8P, Éire / Ireland","(52.667525, -8.5523906)"
51,"Galway (GMIT), Dublin Road, Mervue, Murrough, Mervue, Cathair na Gaillimhe, County Galway, Connacht, H91 F62K, Éire / Ireland","(53.2771757, -9.0099703)"
52,"Set Down Area, Roebuck, Clonskeagh-Belfield ED, Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D04 XT65, Éire / Ireland","(53.3077858, -6.2272193)"
53,"Rory O'Connor Park, Kill of the Grange, Dun Laoghaire-Monkstown Farm ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 A4A7, Éire / Ireland","(53.2840532, -6.1572172)"
54,"Captains Road, Armagh Road, Captains Road, Crumlin, Kimmage E ED, Dublin, County Dublin, Leinster, D12 W62N, Éire / Ireland","(53.319513, -6.3094075)"
55,"Captains Road, Armagh Road, Captains Road, Crumlin, Kimmage E ED, Dublin, County Dublin, Leinster, D12 W62N, Éire / Ireland","(53.319513, -6.3094075)"
56,"Christ Church Cathedral, 6, Christchurch Place, Wood Quay A ED, Dublin, County Dublin, Leinster, D08 RK00, Éire / Ireland","(53.343415300000004, -6.271226869164039)"
57,"Saint Patrick's, Deansgrange, Foxrock-Deansgrange ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.2824104, -6.168199267532566)"
58,"Erin's Isle GAA, Finglas South B ED, Dublin, Dublin 11, Leinster, Éire / Ireland","(53.38411075, -6.298265627020006)"
59,"Highland View, 11A, Bohernabreena Cottages, Bohernabreena ED, Tallaght, South Dublin, County Dublin, Leinster, D24 VH6C, Éire / Ireland","(53.2705124, -6.355732749999999)"
60,"Gibraltar, Clondalkin-Village ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.313886, -6.407620539747139)"
61,"Guinness Brewery, Ushers B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.34546785, -6.288072970023892)"
62,"Dorset Street Upper Flats, Inns Quay B ED, Dublin, Dublin 7, Leinster, Éire / Ireland","(53.353666849999996, -6.26825838269691)"
