0,1
"Ontario Terrace, Rathmines West B ED, Dublin, Dublin 6, Leinster, D06 FC93, Éire / Ireland","(53.3298475, -6.2621756)"
"Gaiety Theatre, 46-50, King Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland","(53.3403737, -6.261642823520237)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Gibraltar, Clondalkin-Village ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.313886, -6.407620539747139)"
"Lombard Street West, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 P3K4, Éire / Ireland","(53.3340425, -6.2727002)"
"Kenilworth Square, Kenilworth Square South, Rathmines West F ED, Dublin, County Dublin, Leinster, D06 YP40, Éire / Ireland","(53.3183659, -6.275908331566633)"
"The Garage, Harolds Cross, 302, Harold's Cross Road, Terenure, Terenure A ED, Dublin, County Dublin, Leinster, D06 HP90, Éire / Ireland","(53.3195808, -6.2789758)"
"Dolphins, Howth Cliff Path, Ben Eadair A ED, Howth, Fingal, County Dublin, Leinster, D13 TP23, Éire / Ireland","(53.3745831, -6.0475785)"
"Lombard Street East, Mansion House A ED, Dublin, Dublin 2, Leinster, D01 KF84, Éire / Ireland","(53.3467801, -6.2480764)"
"ETAP Hotel Belfast, 35-39, Dublin Road, Linen Quarter, Belfast, County Antrim, Ulster, Northern Ireland, BT2 7HN, United Kingdom","(54.5919988, -5.9326537)"
"Ennis Farm Ltd, Holywood ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.5666802, -6.3156601)"
"Dublin Road, Portlaoise Urban ED, The Municipal District of Portlaoise, County Laois, Leinster, R32 Y585, Éire / Ireland","(53.0347109, -7.2939766)"
"Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.22135425, -6.113723618281814)"
"Howth, Fingal, County Dublin, Leinster, D13 T1F3, Éire / Ireland","(53.3858337, -6.0651186)"
"Clarendon Street, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 N262, Éire / Ireland","(53.3419022, -6.261422)"
"Prince of Wales Terrace, Ballsbridge, Pembroke East E ED, Dublin, Dublin 4, Leinster, D04 W9H6, Éire / Ireland","(53.3265307, -6.2223382)"
"Grantham Street, The Liberties, Saint Kevin's ED, Dublin, Dublin 8, Leinster, D08 W8HD, Éire / Ireland","(53.334087, -6.2669024)"
"Inchicore, Inchicore A ED, Dublin, County Dublin, Leinster, D08 PN20, Éire / Ireland","(53.3394635, -6.3209233)"
"Grafton Street, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 C671, Éire / Ireland","(53.3439527, -6.2592087)"
"Odeon, 57, Harcourt Street, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 FW64, Éire / Ireland","(53.333456600000005, -6.262421850667487)"
"Mountjoy, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland","(53.3564398, -6.2576884)"
"Penrose Street, Pembroke West A ED, Dublin, Dublin 4, Leinster, D04 K743, Éire / Ireland","(53.3403494, -6.2327701)"
"Rock, Airport ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.4300792, -6.241176011118037)"
"Killiney Hill, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 F789, Éire / Ireland","(53.2655861, -6.1119224)"
"Bell's Lane, Balbriggan Rural ED, Fingal, County Dublin, Leinster, K32 NV91, Éire / Ireland","(53.6254188, -6.1982476)"
"The Queen's, Castle Street, Dalkey-Coliemore ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 RD37, Éire / Ireland","(53.278133600000004, -6.105042303009286)"
"Holles Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 FP40, Éire / Ireland","(53.3405656, -6.2459603)"
"Canada Life, Marlborough Street, North City ED, Dublin, County Dublin, Leinster, D01 FD28, Éire / Ireland","(53.349352, -6.2577242)"
"Atlantic, Magennis Place, Mansion House A ED, Dublin, County Dublin, Leinster, D02 Y729, Éire / Ireland","(53.3445353, -6.2482393)"
"Santa Maria, Seapoint Avenue, Seapoint or Temple Hill, Blackrock-Seapoint ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 PC95, Éire / Ireland","(53.295, -6.156033449999997)"
"Saint Michaels, Leopardstown Road, Leopardstown, Galloping Green South, Foxrock-Torquay ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 T2N6, Éire / Ireland","(53.275082850000004, -6.191974236920774)"
"Official Residence of the Republic of South Africa, 16, Ailesbury Road, Simmonscourt, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 A373, Éire / Ireland","(53.320570700000005, -6.218867405101541)"
"Irish Association of the Order of Malta, 32, Clyde Road, Pembroke West B ED, Dublin, County Dublin, Leinster, D04 RK20, Éire / Ireland","(53.3296604, -6.2367371)"
"Chronicle, Mayor Street Lower, IFSC II, North Dock C ED, Dublin, County Dublin, Leinster, D01 T8Y1, Éire / Ireland","(53.3489663, -6.2448699)"
"Windmill Hill, Rathcoole ED, South Dublin, Dublin 24, Leinster, D22 HK06, Éire / Ireland","(53.2702868, -6.5002732)"
"Tangier Lane, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 NY74, Éire / Ireland","(53.3405547, -6.2609969)"
"Atlas Tyres, Dorset Street Lower, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.3614741, -6.260239843137255)"
