0,1
"Butt Bridge, Mansion House A ED, Dublin, County Dublin, Leinster, D02 YY95, Éire / Ireland","(53.3478487, -6.254976852127692)"
"Beaver Close, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 H6Y6, Éire / Ireland","(53.3528774, -6.2499101)"
"Montgomery Transport, Promenade Road, Dublin Port, North Wall, North Dock B ED, Dublin, County Dublin, Leinster, D01 CF99, Éire / Ireland","(53.355030049999996, -6.220092165724384)"
"Amiens Street, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 P6K1, Éire / Ireland","(53.351823, -6.2497586)"
"North Star Hotel, 26-30, Amiens Street, Mountjoy A ED, Dublin, County Dublin, Leinster, D01 P6K1, Éire / Ireland","(53.351990099999995, -6.250123929070053)"
"ETAP Hotel Belfast, 35-39, Dublin Road, Linen Quarter, Belfast, County Antrim, Ulster, Northern Ireland, BT2 7HN, United Kingdom","(54.5919988, -5.9326537)"
"Store Street, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 FK19, Éire / Ireland","(53.3498993, -6.2511292)"
"Beresford, Drumcondra South A ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.3737177, -6.246767912878496)"
"Crown Alley, Temple Bar, Royal Exchange A ED, Dublin, Dublin 2, Leinster, D02 C446, Éire / Ireland","(53.3454281, -6.2628485)"
"Clanbrassil Street Upper, Portobello, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 A362, Éire / Ireland","(53.3312582, -6.2752129)"
"Pembroke Road, Pembroke West B ED, Dublin, Dublin 4, Leinster, D04 PF51, Éire / Ireland","(53.3321283, -6.2362038)"
"1MP Loop Line, Seville Terrace, North Dock C ED, Dublin, County Dublin, Leinster, D01 HN36, Éire / Ireland","(53.3541521, -6.2448536)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Louth Community Services, Dublin Road, Dundalk Rural ED, The Municipal District of Dundalk, County Louth, Leinster, A91 RC44, Éire / Ireland","(53.9879998, -6.399273762997526)"
"Dalkey, Railway Road, Dalkey Hill ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 PY23, Éire / Ireland","(53.2754961, -6.102561409104025)"
"Marlborough, Marlborough Street, North City ED, Dublin, County Dublin, Leinster, D01 FD28, Éire / Ireland","(53.3491832, -6.2577573)"
"The Brazen Head, 19-20, Bridge Street Lower, Merchants Quay A ED, Dublin, County Dublin, Leinster, D08 WC64, Éire / Ireland","(53.3449286, -6.2762883)"
"Winetavern Street, Wood Quay A ED, Dublin, Dublin 8, Leinster, D07 E624, Éire / Ireland","(53.3442045, -6.271859)"
"The Bleeding Horse, 24-25, Camden Street Upper, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 NP22, Éire / Ireland","(53.33348375, -6.264766843122734)"
"Camden Avenue, Finglas, Ashtown A ED, Dublin, Dublin 11, Leinster, D07 E5W4, Éire / Ireland","(53.3769086, -6.3181266)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Dún Laoghaire-Sandycove ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28248015, -6.119561935860996)"
"Westland Row, Mansion House A ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.3399187, -6.249884975539027)"
"Skerries, Station Road, Skerries ED, Fingal, County Dublin, Leinster, K34 V585, Éire / Ireland","(53.5739887, -6.1191749)"
"China Info, 157, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 CK74, Éire / Ireland","(53.3531397, -6.260608)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"Holyhead Bed & Breakfast, Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland","(53.3508257, -6.2547299)"
"Egan's Guesthouse, 12, Iona Park, Drumcondra, Glasnevin B ED, Dublin, County Dublin, Leinster, D09 W8W8, Éire / Ireland","(53.366856, -6.266569694836183)"
"Mullingar (Prospect Estate), Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5257559, -7.3301446)"
"Babylon, 83, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 DH36, Éire / Ireland","(53.3358202, -6.2654939)"
"Park Lane, North Docklands, North Wall, North Dock B ED, Dublin, Dublin 1, Leinster, D01 T1W6, Éire / Ireland","(53.3475113, -6.2380109)"
"Eastbourne, Stillorgan Park, Stillorgan Grove, Stillorgan-Priory ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 TV08, Éire / Ireland","(53.2909194, -6.190817139237051)"
"Channel Road, Rush, Rush ED, Fingal, County Dublin, Leinster, K56 E793, Éire / Ireland","(53.5152062, -6.1174071)"
"Wicklow (Lidl), Dublin Road, Wicklow Urban ED, The Municipal District of Wicklow, County Wicklow, Leinster, A67 HD86, Éire / Ireland","(52.9860807, -6.0561617)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Howth, Fingal, County Dublin, Leinster, D13 T1F3, Éire / Ireland","(53.3858337, -6.0651186)"
"Gibraltar, Clondalkin-Village ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.313886, -6.407620539747139)"
"ABC Europa Food, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.3601661, -6.2632429)"
"Stella Maris - Star of the Sea, North Bull Wall, Clontarf East B ED, Dublin, County Dublin, Leinster, D03 YH36, Éire / Ireland","(53.3509302, -6.1622315)"
"Dollymount, Clontarf East B ED, Dublin 3, D03 YH36, Éire / Ireland","(53.3674578, -6.1674246)"
"Kish House, Greendale Road, Kilbarrack, Raheny-Foxfield ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3853607, -6.154241298460146)"
"Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.22135425, -6.113723618281814)"
"Odessa, 14, Dame Court, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 E044, Éire / Ireland","(53.343528, -6.263869)"
"Abbey Theatre, 26, Abbey Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 K0F1, Éire / Ireland","(53.3485527, -6.257167772487303)"
"Ormond Quay Lower, North City ED, Dublin, Dublin 1, Leinster, D02 Y103, Éire / Ireland","(53.3462557, -6.2657034)"
"Holles Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 FP40, Éire / Ireland","(53.3405656, -6.2459603)"
"Henry Street, North City ED, Dublin, Dublin 1, Leinster, D01 F5P2, Éire / Ireland","(53.349537, -6.2619735)"
"Gaiety Theatre, 46-50, King Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland","(53.3403737, -6.261642823520237)"
