0,1
"Artane, Beaumont C ED, Dublin, County Dublin, Leinster, D05 P5Y3, Éire / Ireland","(53.3829928, -6.205268)"
"Mountjoy, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland","(53.3564398, -6.2576884)"
"Belvedere College, 6, Great Denmark Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 PP66, Éire / Ireland","(53.355758449999996, -6.26243018151306)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Mountjoy Square, Mountjoy B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.356861300000006, -6.25705341718472)"
"Fitzgibbon Street, Mountjoy Square, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 PK61, Éire / Ireland","(53.3578817, -6.2559401)"
"Great Charles Street North, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 PT99, Éire / Ireland","(53.3577556, -6.2524275)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Richmond, Drumcondra South A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3677289, -6.245728212186524)"
"Saint Joseph's, Clonsilla ED, Ongar, Fingal, Dublin 15, Leinster, Éire / Ireland","(53.3861448, -6.430042999673825)"
"Portland Place Park, Ballybough B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3605881, -6.256419731159045)"
"Aldborough House, Portland Row, Ballybough, North Strand, Mountjoy A ED, Dublin, County Dublin, Leinster, D01 HN36, Éire / Ireland","(53.355167550000004, -6.2481299170170495)"
"North Strand, Ballybough A ED, Dublin, Dublin 3, Leinster, D03 P043, Éire / Ireland","(53.3584282, -6.2416181)"
"New York Hair, 20, Eden Quay, North City ED, Dublin, County Dublin, Leinster, D01 EK70, Éire / Ireland","(53.348194750000005, -6.256771619433922)"
"Charleville Mall, Ballybough, North Strand, Ballybough A ED, Dublin, Dublin 1, Leinster, D01 Y751, Éire / Ireland","(53.3570498, -6.2456224)"
"Droichead Newcomen, North Strand Road, Ballybough, North Strand, Ballybough A ED, Dublin, County Dublin, Leinster, D03 P043, Éire / Ireland","(53.356529, -6.2442572)"
"Talbot Street, Gardiner Street, Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland","(53.3503826, -6.2562658)"
"North William Street Flats, North Strand, Ballybough A ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3561869, -6.245462680464261)"
"Welcome to Mud Island, Bayview Avenue, Ballybough, North Strand, Ballybough A ED, Dublin, County Dublin, Leinster, D03 F9P7, Éire / Ireland","(53.3593529, -6.2454007)"
"Annesley Bridge, Annesley Bridge Road, Ballybough, North Strand, Ballybough A ED, Dublin, County Dublin, Leinster, D03 DC92, Éire / Ireland","(53.3607452, -6.2388709)"
"Howth, Fingal, County Dublin, Leinster, D13 T1F3, Éire / Ireland","(53.3858337, -6.0651186)"
"Malahide, Main Street, Malahide East ED, Fingal, County Dublin, Leinster, K36 VY57, Éire / Ireland","(53.4506973, -6.156591)"
"Ennel Drive, Artane, Harmonstown A ED, Dublin, Dublin 5, Leinster, D05 HE37, Éire / Ireland","(53.3860244, -6.1954118)"
"Dollymount, Clontarf East B ED, Dublin 3, D03 YH36, Éire / Ireland","(53.3674578, -6.1674246)"
"Eccles Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 T3F2, Éire / Ireland","(53.3584367, -6.2670729)"
"Liffey, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.34418175, -6.205709937812916)"
"Loopline Bridge, George's Quay, Mansion House A ED, Dublin, County Dublin, Leinster, D02 YY95, Éire / Ireland","(53.347840149999996, -6.254614021494845)"
"George's Quay, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 ED70, Éire / Ireland","(53.3474489, -6.2518868)"
"Tangier Lane, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 NY74, Éire / Ireland","(53.3405547, -6.2609969)"
"Merchants Quay E ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.33254685, -6.27905125235578)"
"Goldsmith Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D07 K188, Éire / Ireland","(53.3586777, -6.2711385)"
"Trinity, College Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 PX75, Éire / Ireland","(53.3453267, -6.2582748)"
"Grattan, Clonshaugh Business & Technology Park, Priorswood A ED, Dublin, County Dublin, Leinster, D17 KV84, Éire / Ireland","(53.4025932, -6.217785)"
"Inchicore, Inchicore A ED, Dublin, County Dublin, Leinster, D08 PN20, Éire / Ireland","(53.3394635, -6.3209233)"
