0,1
"Tritonville Road, Irishtown, Pembroke East B ED, Dublin, Dublin 4, Leinster, D04 H6W7, Éire / Ireland","(53.3368693, -6.2222355)"
"Irishtown, Pembroke East A ED, Dublin, Dublin 4, Leinster, Éire / Ireland","(53.3380806, -6.2221223)"
"Ringsend, Pembroke East A ED, Dublin, County Dublin, Leinster, D04 Y970, Éire / Ireland","(53.341944, -6.226389)"
"Brunswick, Bannow Road, Cabra, Cabra West B ED, Dublin, County Dublin, Leinster, D07 AX73, Éire / Ireland","(53.3703782, -6.2923372)"
"Watery Lane, Swords Village ED, Fingal, County Dublin, Leinster, K67 E330, Éire / Ireland","(53.4637862, -6.2193353)"
"Ringsend Road, Pembroke West A ED, Dublin, Dublin 4, Leinster, D04 R674, Éire / Ireland","(53.3420425, -6.2355772)"
"Stamer Street, Portobello, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 DR60, Éire / Ireland","(53.3312843, -6.2681346)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Bray & Greystones, Station Road, Killiney North ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 X997, Éire / Ireland","(53.25541145, -6.112953212019128)"
"Bristol Myers Squibb, The Ward ED, Fingal, Dublin 15, Leinster, Éire / Ireland","(53.41509035, -6.374014585922341)"
"Gaiety Theatre, 46-50, King Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland","(53.3403737, -6.261642823520237)"
"St. Clare's Convent, Harold's Cross, Rathmines West A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.327119499999995, -6.276575019239942)"
"Hume Avenue, Park West, Cherry Orchard C ED, Dublin, Dublin 12, Leinster, D12 HN40, Éire / Ireland","(53.3302703, -6.3651324)"
"Midleton - Curraleigh West - Dublin, Rathealy Road, Leitrim, The Municipal District of Fermoy, County Cork, Munster, P61 C996, Éire / Ireland","(52.1519805, -8.2032789)"
"Liffey, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.34418175, -6.205709937812916)"
"McCambridge Bread, Grants Square, Greenogue Business Park, Newcastle ED, Newcastle, South Dublin, County Dublin, Leinster, D24 HN82, Éire / Ireland","(53.2948664, -6.4786604)"
"Parnell, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 CK74, Éire / Ireland","(53.3530703, -6.2604649)"
"Rotunda Hospital, Parnell Square West, Rotunda B ED, Dublin, County Dublin, Leinster, D01 P5W9, Éire / Ireland","(53.353003099999995, -6.263468480041185)"
"Rutland Place North, Mountjoy B ED, Dublin, Dublin 1, Leinster, D01 PT99, Éire / Ireland","(53.3573728, -6.2508754)"
"Star Asia Foods, Parnell Street, North City ED, Dublin, County Dublin, Leinster, D01 H578, Éire / Ireland","(53.3507519, -6.2650212)"
"Blessington, 57, Drumcondra Road Lower, Drumcondra, Drumcondra South B ED, Dublin, County Dublin, Leinster, D09 A4P8, Éire / Ireland","(53.36409755, -6.256562415350558)"
"Berkeley, Ballyfermot Road, Ballyfermot C ED, Dublin, County Dublin, Leinster, D10 WV02, Éire / Ireland","(53.3423031, -6.3568304)"
"Alexandra Basin, North Wall, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3471028, -6.21896215924057)"
"Eccles Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 T3F2, Éire / Ireland","(53.3584367, -6.2670729)"
"Our Lady's Hospice, Greenmount Court, Kimmage, Kimmage C ED, Dublin, County Dublin, Leinster, D08 KVY4, Éire / Ireland","(53.327086050000005, -6.279572473508404)"
"Cuffe Street, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 VH98, Éire / Ireland","(53.3375449, -6.262927)"
"Liverpool FC Popup Shop, Retail Park Service Area, Blanchardstown Centre, Clonsilla ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 T1FD, Éire / Ireland","(53.3957294, -6.392114)"
"Clonsilla, Fingal, County Dublin, Leinster, D15 T0HE, Éire / Ireland","(53.383333, -6.416667)"
"Dunphy's Corner, Dun Laoghaire-West Central ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 R268, Éire / Ireland","(53.2931365, -6.13912)"
"Dunphy's, 41, Georges Street Lower, Dun Laoghaire-West Central ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 X7K2, Éire / Ireland","(53.29321325, -6.13879335)"
"Phibsborough, Cabra East A ED, Dublin, County Dublin, Leinster, D07 R26N, Éire / Ireland","(53.3610883, -6.2713186)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Parish Church Of Saint Mary, Dublin Gate Street, Athlone East Urban ED, The Municipal District of Athlone — Moate, County Westmeath, Leinster, N37 T2P0, Éire / Ireland","(53.4236856, -7.937948045927136)"
"Mullingar (Prospect Estate), Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5257559, -7.3301446)"
"Leixlip, The Municipal District of Celbridge — Leixlip, South Dublin, County Kildare, Leinster, Éire / Ireland","(53.37010665, -6.506869032692185)"
"Finglas Road, Finglas, Ballygall A ED, Dublin, Dublin 11, Leinster, D11 XAH1, Éire / Ireland","(53.379975, -6.288339)"
"Prospect, Botanic B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.367610850000005, -6.268585840605314)"
"Finglas, Finglas East F ED, Dublin, County Dublin, Leinster, D11 F76T, Éire / Ireland","(53.389167, -6.296944)"
"Mount Jerome Cemetery & Crematorium, Kimmage C ED, Dublin, County Dublin, Leinster, D6W HY98, Éire / Ireland","(53.32577275, -6.284314223432526)"
"Ennis Farm Ltd, Holywood ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.5666802, -6.3156601)"
"Artane, Beaumont C ED, Dublin, County Dublin, Leinster, D05 P5Y3, Éire / Ireland","(53.3829928, -6.205268)"
"Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.22135425, -6.113723618281814)"
"Mexico to Rome, Wellington Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3457261, -6.2643978)"
"The Coombe, The Liberties, Merchants Quay B ED, Dublin, Dublin 8, Leinster, D08 VY00, Éire / Ireland","(53.3398257, -6.2775196)"
"Lombard Street West, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 P3K4, Éire / Ireland","(53.3340425, -6.2727002)"
"Davy Freeman Mitten, Castleknock Road, Castleknock-Park ED, Castleknock, Fingal, County Dublin, Leinster, D15 W9DH, Éire / Ireland","(53.3728084, -6.3612937)"
"China Info, 157, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 CK74, Éire / Ireland","(53.3531397, -6.260608)"
