0,1
"Zion Parish 1900, Rathfarnham ED, Dublin, South Dublin, Dublin 6, Leinster, Éire / Ireland","(53.3066985, -6.270915256211742)"
"Birmingham Motors, Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5255903, -7.3307624)"
"O'Connell Bridge, Royal Exchange A ED, Dublin, County Dublin, Leinster, D01 FA48, Éire / Ireland","(53.347265500000006, -6.259104274441249)"
"Liffey, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.34418175, -6.205709937812916)"
"Anna Liffey Mills Road, Lucan North ED, Fingal, Dublin 15, Leinster, D15 AXP3, Éire / Ireland","(53.3774356, -6.4397016)"
"Westmoreland Street, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 X984, Éire / Ireland","(53.3469351, -6.25911)"
"Jaguar Land Rover Ireland LTD - HQ, Naas Road, Newcastle ED, Saggart, South Dublin, County Dublin, Leinster, D22 W1H9, Éire / Ireland","(53.2917541, -6.4412767)"
"Lombard Street West, Wood Quay B ED, Dublin, Dublin 8, Leinster, D08 P3K4, Éire / Ireland","(53.3340425, -6.2727002)"
"Arnott Street, Wood Quay B ED, Dublin, Dublin 8, Leinster, D01 XTN5, Éire / Ireland","(53.3342258, -6.2696105)"
"Premier Inn, South Great George's Street, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 E062, Éire / Ireland","(53.341605099999995, -6.2648925510640385)"
"The Mansion House, 20, Dawson Street, Dublin, County Dublin, Leinster, D02 AF30, Éire / Ireland","(53.34025485, -6.258069357661135)"
"Harcourt Road, Saint Kevin's ED, Dublin, Dublin 2, Leinster, D02 FW64, Éire / Ireland","(53.3327418, -6.2623417)"
"Mullingar (Prospect Estate), Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5257559, -7.3301446)"
"Harrison's Cove, Skerries ED, Fingal, County Dublin, Leinster, K34 Y567, Éire / Ireland","(53.5827701, -6.1242523)"
"Dolphin's Barn, Ushers E ED, Dublin, County Dublin, Leinster, D08 N2X7, Éire / Ireland","(53.3334215, -6.2914261)"
"Holles Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 FP40, Éire / Ireland","(53.3405656, -6.2459603)"
"The Irish Times, 24-28, Tara Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 TK71, Éire / Ireland","(53.3460932, -6.254914695002476)"
"Bank of Ireland, Mayne River Street, Northern Cross, Malahide Road, Priorswood C ED, Dublin, County Dublin, Leinster, D17 TX92, Éire / Ireland","(53.4053032, -6.1782009)"
"Dublin North City Poor Law Union, Santry, Ballymun C ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.39964245, -6.258906878884627)"
"Grosvenor Court, Clontarf, Clontarf East C ED, Dublin, Dublin 3, Leinster, D03 WR23, Éire / Ireland","(53.3688346, -6.2003386)"
"Shelbourne Park, Hastings Street, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 W5C3, Éire / Ireland","(53.34047855, -6.230197004709833)"
"The Glass Houses, 92, Georges Street Lower, Dun Laoghaire-West Central ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 VR66, Éire / Ireland","(53.2931895, -6.137926)"
"Dublin Castle, Castle Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D08 RK00, Éire / Ireland","(53.342597049999995, -6.267050881169273)"
"Burton Chambers, 19-22, Dame Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 E267, Éire / Ireland","(53.34394025, -6.264813698327105)"
"Westmoreland, Westmoreland Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 H950, Éire / Ireland","(53.346326, -6.2590268)"
"Goose Green Court, Drumcondra North A ED, Dublin, Dublin 9, Leinster, D09 C7F8, Éire / Ireland","(53.3802626, -6.2389146)"
"College Street, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 HR67, Éire / Ireland","(53.3450327, -6.2589964)"
"Trinity, College Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 PX75, Éire / Ireland","(53.3453267, -6.2582748)"
"Abbey Street, Howth ED, Howth, Fingal, Dublin 13, Leinster, D13 A2T6, Éire / Ireland","(53.3872364, -6.0655199)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Sinn Féin, 44, Parnell Square West, Rotunda B ED, Dublin, County Dublin, Leinster, D01 R243, Éire / Ireland","(53.352598349999994, -6.264523001483406)"
"Richmond, Drumcondra South A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3677289, -6.245728212186524)"
"Lusk, Fingal, County Dublin, Leinster, Éire / Ireland","(53.52417235, -6.1715961579092165)"
"Babylon, 83, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 DH36, Éire / Ireland","(53.3358202, -6.2654939)"
"B-C, Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 NH77, Éire / Ireland","(53.2216504, -6.1179623)"
"Tallaght University Hospital, Belgard Square North, Springfield, Tallaght-Springfield ED, Tallaght, South Dublin, County Dublin, Leinster, D24 NR0A, Éire / Ireland","(53.2911931, -6.378828005980265)"
"Nassau Street, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 CY95, Éire / Ireland","(53.3425374, -6.2561629)"
"Ennis Farm Ltd, Holywood ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.5666802, -6.3156601)"
