0,1
"Heaton Buckley’s, Santry Avenue, Santry, Whitehall C ED, Dublin, Fingal, County Dublin, Leinster, D09 X6X4, Éire / Ireland","(53.39703565, -6.24631788080792)"
"Gibraltar, Clondalkin-Village ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.313886, -6.407620539747139)"
"Joe Boland Motor Salvage, Swords-Forrest ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.44318295, -6.228981588196607)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Dorset Street Upper Flats, Inns Quay B ED, Dublin, Dublin 7, Leinster, Éire / Ireland","(53.353666849999996, -6.26825838269691)"
"Leitrim Lodge, 71, Blessington Street, Inns Quay B ED, Dublin, County Dublin, Leinster, D01 W2C9, Éire / Ireland","(53.35625, -6.2664896)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Saint Joseph's National School, Coolock, Macroom Road, Artane A ED, Dublin, County Dublin, Leinster, D17 XE18, Éire / Ireland","(53.39804085, -6.203195114111775)"
"Eccles Townhouse, Dorset Street Upper, Inns Quay B ED, Dublin, County Dublin, Leinster, D01 K6W6, Éire / Ireland","(53.3574023, -6.2641644)"
"Jaffa On the Quay, 10, Burgh Quay, Mansion House A ED, Dublin, County Dublin, Leinster, D02 XK70, Éire / Ireland","(53.347234, -6.2569062)"
"Berlin, 15, Dame Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 E267, Éire / Ireland","(53.343965049999994, -6.265319753645949)"
"Arbutus, 96A, Trees Road Upper, Mount Merrion, Stillorgan-Deerpark ED, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 RX70, Éire / Ireland","(53.2917616, -6.213089676316848)"
"Pleasants Street, The Liberties, Saint Kevin's ED, Dublin, Dublin 8, Leinster, D02 HH92, Éire / Ireland","(53.3353166, -6.2669365)"
"Eccles Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 T3F2, Éire / Ireland","(53.3584367, -6.2670729)"
"Loughlinstown River, North, Loughlinstown, Killiney South ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 KP65, Éire / Ireland","(53.2451264, -6.1324478)"
"Berkeley, Ballyfermot Road, Ballyfermot C ED, Dublin, County Dublin, Leinster, D10 WV02, Éire / Ireland","(53.3423031, -6.3568304)"
"Dolphin's Barn, Ushers E ED, Dublin, County Dublin, Leinster, D08 N2X7, Éire / Ireland","(53.3334215, -6.2914261)"
"Peadar Kearney House, Mountjoy A ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3525599, -6.252443383752144)"
"Denzille Lane, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 WD37, Éire / Ireland","(53.3410088, -6.2472496)"
"Kish House, Greendale Road, Kilbarrack, Raheny-Foxfield ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3853607, -6.154241298460146)"
"Virginia, Mount Merrion Avenue, Blackrock, Blackrock-Central ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 W320, Éire / Ireland","(53.29941045, -6.192471607731234)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
