0,1
"Sandymount, Pembroke East C ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3318342, -6.2153462)"
"Bride Street, Wood Quay A ED, Dublin, Dublin 8, Leinster, D08 VRR7, Éire / Ireland","(53.3399304, -6.2697958)"
"Edenville, 599, Howth Road, Raheny A ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3808035, -6.156389864902819)"
"Strasburg Terrace, Irishtown, Pembroke East A ED, Dublin, Dublin 4, Leinster, D04 H6W7, Éire / Ireland","(53.3399447, -6.2221399)"
"Serpentine Avenue, Ballsbridge, Pembroke East E ED, Dublin, Dublin 4, Leinster, D04 C535, Éire / Ireland","(53.3305476, -6.2245243)"
"Howth, Fingal, County Dublin, Leinster, D13 T1F3, Éire / Ireland","(53.3858337, -6.0651186)"
"Alexandria Gate, South Circular Road, Portobello, Wood Quay B ED, Dublin, County Dublin, Leinster, D01 XTN5, Éire / Ireland","(53.3323927, -6.2740151)"
"MacMahon Bridge, South Dock ED, Dublin, Dublin 4, Leinster, D04 TR29, Éire / Ireland","(53.3422535, -6.2372894)"
"Hyde Engineering + Consulting Europe Limited, 27-29, Orwell Road, Rathgar, Rathfarnham A ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.3112927, -6.2738242)"
"Newhaven, Balbriggan Rural ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.6156358, -6.208095614880669)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Malahide, Main Street, Malahide East ED, Fingal, County Dublin, Leinster, K36 VY57, Éire / Ireland","(53.4506973, -6.156591)"
"Kilkenny, Pavilions Roundabout, Swords Pavilions Shopping Centre, Swords Village ED, Fingal, County Dublin, Leinster, K67 X5P7, Éire / Ireland","(53.4541661, -6.2190927)"
"Nore Road, Dublin Industrial Estate, Cabra East A ED, Dublin, Dublin 11, Leinster, D07 AX73, Éire / Ireland","(53.3737085, -6.2952953)"
"Poolbeg Lighthouse, Great South Wall, Pembroke East A ED, Dublin, County Dublin, Leinster, D03 T6N3, Éire / Ireland","(53.3421059, -6.1513683929249545)"
"Liffey, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.34418175, -6.205709937812916)"
"York Road, Ringsend, Pembroke East A ED, Dublin, Dublin 4, Leinster, D02 K021, Éire / Ireland","(53.3446436, -6.2280987)"
"Maiden Rock, Shankill-Rathsallagh ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.277941049999995, -6.091722565007853)"
"Cloyne Road, Kimmage, Kimmage (pt. Crumlin C.P.), Kimmage D ED, Dublin, Dublin 12, Leinster, D12 Y313, Éire / Ireland","(53.3187422, -6.2957202)"
"Leeson Park, Rathmines East A ED, Dublin, Dublin 6, Leinster, D06 VK18, Éire / Ireland","(53.3281789, -6.251642)"
"Cock & Bull, Beechpark Avenue, Coolock, Kilmore D ED, Dublin, County Dublin, Leinster, D05 P5Y3, Éire / Ireland","(53.389217099999996, -6.200983375236689)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
