0,1
"Oxford Road, Ranelagh, Rathmines East D ED, Dublin, Dublin 6, Leinster, D06 Y027, Éire / Ireland","(53.3247451, -6.2577097)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 T860, Éire / Ireland","(53.2922794, -6.1360079)"
"Ship Street Great, Royal Exchange A ED, Dublin, Dublin 8, Leinster, D08 A5RV, Éire / Ireland","(53.3417079, -6.2678515)"
"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland","(53.35914245, -6.266923313887272)"
"Richmond, Drumcondra South A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3677289, -6.245728212186524)"
"Dún Laoghaire-Sandycove ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28248015, -6.119561935860996)"
"Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 V9R3, Éire / Ireland","(53.2891457, -6.2433756)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Malachi Place, East Wall, North Strand, North Dock B ED, Dublin, Dublin 3, Leinster, D01 T1W6, Éire / Ireland","(53.3526636, -6.2381338)"
"Bullock, Dalkey-Bullock ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28040515, -6.11541293903381)"
"Bank of Ireland, Dublin Gate Street, Athlone East Urban ED, The Municipal District of Athlone — Moate, County Westmeath, Leinster, N37 T2P0, Éire / Ireland","(53.4232535, -7.938505197076023)"
"O'Connell Bridge, Royal Exchange A ED, Dublin, County Dublin, Leinster, D01 FA48, Éire / Ireland","(53.347265500000006, -6.259104274441249)"
